bst, avl, splay_order, splay_random_1, splay_random_2, splay_random_3, splay_random_4, splay_random_5,
425,8,1,12,0,0,0,0, 
426,9,2,13,0,0,0,0, 
427,7,1,14,0,0,0,0, 
428,9,6,14,0,0,0,0, 
429,8,3,16,0,0,0,0, 
430,9,3,12,0,0,0,0, 
431,5,1,12,0,0,0,0, 
432,9,3,16,0,0,0,0, 
433,8,1,9,0,0,0,0, 
434,9,2,12,0,0,0,0, 
435,7,1,14,0,0,0,0, 
436,9,5,12,0,0,0,0, 
437,8,2,15,0,0,0,0, 
438,9,3,13,0,0,0,0, 
439,6,1,11,0,0,0,0, 
440,9,3,15,0,0,0,0, 
441,8,1,13,0,0,0,0, 
442,9,2,11,0,0,0,0, 
443,7,1,12,0,0,0,0, 
444,9,5,10,0,0,0,0, 
445,8,2,11,0,0,0,0, 
446,9,3,12,0,0,0,0, 
447,3,1,7,0,0,0,0, 
448,9,3,11,0,0,0,0, 
449,8,1,18,0,0,0,0, 
450,9,2,10,0,0,0,0, 
451,7,1,16,0,0,0,0, 
452,9,4,13,0,0,0,0, 
453,8,2,15,0,0,0,0, 
454,9,3,5,0,0,0,0, 
455,6,1,17,0,0,0,0, 
456,9,3,12,0,0,0,0, 
457,8,1,6,0,0,0,0, 
458,9,2,16,0,0,0,0, 
459,7,1,15,0,0,0,0, 
460,9,8,14,0,0,0,0, 
461,8,4,17,0,0,0,0, 
462,9,4,16,0,0,0,0, 
463,5,2,18,0,0,0,0, 
464,9,4,11,0,0,0,0, 
465,8,2,11,0,0,0,0, 
466,9,3,8,0,0,0,0, 
467,7,1,10,0,0,0,0, 
468,9,6,7,0,0,0,0, 
469,8,3,14,0,0,0,0, 
470,9,3,17,0,0,0,0, 
471,6,1,13,0,0,0,0, 
472,9,3,9,0,0,0,0, 
473,8,1,12,0,0,0,0, 
474,9,2,13,0,0,0,0, 
475,7,1,9,0,0,0,0, 
476,9,6,15,0,0,0,0, 
477,8,3,14,0,0,0,0, 
